indicator,Country__ESTANDAR,Years__ESTANDAR,value,unit,notes_ids,source_id
Crude death rate,Argentina,2000,7.60,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2001,7.55,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2002,7.52,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2003,7.86,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2004,7.48,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2005,7.42,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2006,7.37,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2007,7.75,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2008,7.47,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2009,7.41,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2010,7.66,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2011,7.51,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2012,7.39,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2013,7.49,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2014,7.45,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2015,7.54,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2016,7.95,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2017,7.69,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2018,7.68,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2019,7.60,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2020,8.51,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2021,8.96,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2022,8.59,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2023,7.48,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2024,7.50,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2025,7.53,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2026,7.56,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2027,7.58,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2028,7.61,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2029,7.64,"Rate per 1,000 inhabitants",,6547
Crude death rate,Argentina,2030,7.68,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2000,9.83,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2001,9.64,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2002,9.29,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2003,9.04,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2004,8.79,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2005,8.55,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2006,8.35,"Rate per 1,000 inhabitants",,6547
Crude death rate,Bolivia (Plurinational State of),2007,8.20,"Rate per 1,000 inhabitants",,6547
