country,Country name,,,,,,,,
iso3,ISO 3166-1 alpha-3 code,,,,,,,,
year,Year of death,,,,,,,,
sex,Sex (Female or Male),,,,,,,,
age,Age-group from 0 to 80 plus,,,,,,,,
Nx,Sex- and age-specific population number,,,,,,,,
type,Estimate type for select year (reported or predicted),,,,,,,,
expected.mean,"Expected deaths from all-causes by age, sex and year (mean)",,,,,,,,
acm.mean,"Estimated deaths from all-causes by age, sex and year (mean)",,,,,,,,
excess.mean,"Excess deaths associated with COVID-19 pandemic from all-causes by age, sex and year (mean)",,,,,,,,
,,,,,,,,,
country,iso3,year,sex,age,Nx,type,expected.mean,acm.mean,excess.mean
Afghanistan,AFG,2020,Female,0 to 24,12107856,Predicted,40606,40606,0
Afghanistan,AFG,2020,Female,25 to 39,3665948,Predicted,11527,11181,-346
Afghanistan,AFG,2020,Female,40 to 49,1418213,Predicted,10950,11484,534
Afghanistan,AFG,2020,Female,50 to 59,899631,Predicted,14824,16573,1749
Afghanistan,AFG,2020,Female,60 to 69,536778,Predicted,18322,21485,3163
Afghanistan,AFG,2020,Female,70 to 79,263304,Predicted,19060,21699,2639
Afghanistan,AFG,2020,Female,80 plus,60346,Predicted,9989,11558,1569
Afghanistan,AFG,2020,Male,0 to 24,12728920,Predicted,51595,51595,0
Afghanistan,AFG,2020,Male,25 to 39,3978084,Predicted,14889,13891,-998
Afghanistan,AFG,2020,Male,40 to 49,1545246,Predicted,10964,11483,519
Afghanistan,AFG,2020,Male,50 to 59,940567,Predicted,14022,16158,2136
Afghanistan,AFG,2020,Male,60 to 69,520718,Predicted,17181,20817,3636
Afghanistan,AFG,2020,Male,70 to 79,217151,Predicted,14732,17862,3130
Afghanistan,AFG,2020,Male,80 plus,45579,Predicted,6989,8650,1661
Afghanistan,AFG,2021,Female,0 to 24,12285030,Predicted,39124,39124,0
Afghanistan,AFG,2021,Female,25 to 39,3817083,Predicted,11583,11819,236
Afghanistan,AFG,2021,Female,40 to 49,1476022,Predicted,11115,12159,1044
Afghanistan,AFG,2021,Female,50 to 59,931412,Predicted,15026,17332,2306
Afghanistan,AFG,2021,Female,60 to 69,552536,Predicted,18532,22161,3629
Afghanistan,AFG,2021,Female,70 to 79,273588,Predicted,19636,22597,2961
Afghanistan,AFG,2021,Female,80 plus,64776,Predicted,10710,12363,1653
Afghanistan,AFG,2021,Male,0 to 24,12911474,Predicted,50081,50081,0
Afghanistan,AFG,2021,Male,25 to 39,4128667,Predicted,15207,15174,-33
Afghanistan,AFG,2021,Male,40 to 49,1607006,Predicted,11118,12271,1153
Afghanistan,AFG,2021,Male,50 to 59,973750,Predicted,14115,16849,2734
Afghanistan,AFG,2021,Male,60 to 69,538729,Predicted,17362,21485,4123
Afghanistan,AFG,2021,Male,70 to 79,225794,Predicted,15044,18676,3632
Afghanistan,AFG,2021,Male,80 plus,49561,Predicted,7548,9250,1702
Angola,AGO,2020,Female,0 to 24,10829091,Predicted,51032,51032,0
Angola,AGO,2020,Female,25 to 39,3122624,Predicted,11045,10035,-1010
Angola,AGO,2020,Female,40 to 49,1246222,Predicted,8084,7932,-152
Angola,AGO,2020,Female,50 to 59,755650,Predicted,8211,8787,576
Angola,AGO,2020,Female,60 to 69,411375,Predicted,9037,10154,1117
Angola,AGO,2020,Female,70 to 79,186740,Predicted,9657,10608,951
Angola,AGO,2020,Female,80 plus,53696,Predicted,6944,7734,790
Angola,AGO,2020,Male,0 to 24,10834422,Predicted,62167,62167,0
Angola,AGO,2020,Male,25 to 39,3000576,Predicted,10973,9593,-1380
Angola,AGO,2020,Male,40 to 49,1166513,Predicted,10174,9980,-194
Angola,AGO,2020,Male,50 to 59,708952,Predicted,12386,13209,823
Angola,AGO,2020,Male,60 to 69,374522,Predicted,13553,15300,1747
Angola,AGO,2020,Male,70 to 79,144989,Predicted,10915,12212,1297
Angola,AGO,2020,Male,80 plus,30896,Predicted,5120,5896,776
Angola,AGO,2021,Female,0 to 24,11155922,Predicted,49575,49575,0
Angola,AGO,2021,Female,25 to 39,3228032,Predicted,11307,11447,140
Angola,AGO,2021,Female,40 to 49,1294513,Predicted,8334,9124,790
Angola,AGO,2021,Female,50 to 59,783845,Predicted,8376,9819,1443
Angola,AGO,2021,Female,60 to 69,434307,Predicted,9415,11581,2166
Angola,AGO,2021,Female,70 to 79,190147,Predicted,9760,11480,1720
Angola,AGO,2021,Female,80 plus,56705,Predicted,7412,8788,1376
Angola,AGO,2021,Male,0 to 24,11172546,Predicted,60553,60553,0
Angola,AGO,2021,Male,25 to 39,3102974,Predicted,11273,11222,-51
Angola,AGO,2021,Male,40 to 49,1211150,Predicted,10475,11382,907
Angola,AGO,2021,Male,50 to 59,727170,Predicted,12518,14740,2222
Angola,AGO,2021,Male,60 to 69,393655,Predicted,14087,17139,3052
Angola,AGO,2021,Male,70 to 79,149547,Predicted,11200,13663,2463
Angola,AGO,2021,Male,80 plus,33098,Predicted,5511,6629,1118
Albania,ALB,2020,Female,0 to 24,439121,Reported,342,261,-81
Albania,ALB,2020,Female,25 to 39,292488,Reported,157,180,23
Albania,ALB,2020,Female,40 to 49,166859,Reported,292,294,2
Albania,ALB,2020,Female,50 to 59,198933,Reported,799,825,26
Albania,ALB,2020,Female,60 to 69,169241,Reported,1716,1927,211
Albania,ALB,2020,Female,70 to 79,100797,Reported,3832,4320,488
Albania,ALB,2020,Female,80 plus,45647,Reported,8434,9376,942
Albania,ALB,2020,Male,0 to 24,484845,Reported,445,391,-54
Albania,ALB,2020,Male,25 to 39,342608,Reported,394,396,2
Albania,ALB,2020,Male,40 to 49,156160,Reported,515,614,99
Albania,ALB,2020,Male,50 to 59,187158,Reported,1535,1859,324
Albania,ALB,2020,Male,60 to 69,161001,Reported,3199,3958,759
Albania,ALB,2020,Male,70 to 79,93871,Reported,5097,6307,1210
Albania,ALB,2020,Male,80 plus,39071,Reported,6879,8495,1616
Albania,ALB,2021,Female,0 to 24,427803,Reported,356,284,-72
Albania,ALB,2021,Female,25 to 39,298577,Reported,161,191,30
Albania,ALB,2021,Female,40 to 49,162141,Reported,297,354,57
Albania,ALB,2021,Female,50 to 59,196468,Reported,850,995,145
Albania,ALB,2021,Female,60 to 69,175165,Reported,1865,2183,318
Albania,ALB,2021,Female,70 to 79,102671,Reported,3990,4955,965
Albania,ALB,2021,Female,80 plus,48098,Reported,9289,10331,1042
Albania,ALB,2021,Male,0 to 24,473396,Reported,459,406,-53
Albania,ALB,2021,Male,25 to 39,348238,Reported,416,352,-64
Albania,ALB,2021,Male,40 to 49,154888,Reported,532,705,173
Albania,ALB,2021,Male,50 to 59,182847,Reported,1585,1894,309
Albania,ALB,2021,Male,60 to 69,165935,Reported,3506,4619,1113
Albania,ALB,2021,Male,70 to 79,95230,Reported,5389,7185,1796
Albania,ALB,2021,Male,80 plus,41477,Reported,7613,8975,1362
Andorra,AND,2020,Female,0 to 24,8777,Reported,1,0,-1
Andorra,AND,2020,Female,25 to 39,6663,Reported,4,4,0
Andorra,AND,2020,Female,40 to 49,7151,Reported,8,10,2
Andorra,AND,2020,Female,50 to 59,6477,Reported,16,20,4
Andorra,AND,2020,Female,60 to 69,4331,Reported,26,43,17
Andorra,AND,2020,Female,70 to 79,2671,Reported,44,55,11
Andorra,AND,2020,Female,80 plus,1969,Reported,182,203,21
Andorra,AND,2020,Male,0 to 24,9316,Reported,3,10,7
Andorra,AND,2020,Male,25 to 39,6868,Reported,7,6,-1
Andorra,AND,2020,Male,40 to 49,7305,Reported,14,23,9
Andorra,AND,2020,Male,50 to 59,6932,Reported,33,53,20
Andorra,AND,2020,Male,60 to 69,4651,Reported,52,115,63
Andorra,AND,2020,Male,70 to 79,2719,Reported,77,125,48
Andorra,AND,2020,Male,80 plus,1435,Reported,164,195,31
Andorra,AND,2021,Female,0 to 24,8747,Predicted,1,1,0
Andorra,AND,2021,Female,25 to 39,6392,Predicted,4,4,0
Andorra,AND,2021,Female,40 to 49,7056,Predicted,8,10,2
Andorra,AND,2021,Female,50 to 59,6592,Predicted,18,24,6
Andorra,AND,2021,Female,60 to 69,4542,Predicted,27,38,11
Andorra,AND,2021,Female,70 to 79,2775,Predicted,46,59,13
Andorra,AND,2021,Female,80 plus,1999,Predicted,188,194,6
Andorra,AND,2021,Male,0 to 24,9270,Predicted,19,19,0
Andorra,AND,2021,Male,25 to 39,6657,Predicted,7,7,0
Andorra,AND,2021,Male,40 to 49,7157,Predicted,14,19,5
Andorra,AND,2021,Male,50 to 59,7014,Predicted,33,50,17
Andorra,AND,2021,Male,60 to 69,4852,Predicted,54,81,27
Andorra,AND,2021,Male,70 to 79,2826,Predicted,81,113,32
Andorra,AND,2021,Male,80 plus,1475,Predicted,169,191,22
United Arab Emirates,ARE,2020,Female,0 to 24,1135144,Predicted,522,522,0
United Arab Emirates,ARE,2020,Female,25 to 39,1231614,Predicted,772,696,-76
United Arab Emirates,ARE,2020,Female,40 to 49,396022,Predicted,703,696,-7
United Arab Emirates,ARE,2020,Female,50 to 59,207029,Predicted,998,1070,72
United Arab Emirates,ARE,2020,Female,60 to 69,62199,Predicted,764,868,104
United Arab Emirates,ARE,2020,Female,70 to 79,17077,Predicted,556,611,55
United Arab Emirates,ARE,2020,Female,80 plus,4966,Predicted,607,675,68
United Arab Emirates,ARE,2020,Male,0 to 24,1435313,Predicted,1037,1037,0
United Arab Emirates,ARE,2020,Male,25 to 39,3371290,Predicted,3326,2844,-482
United Arab Emirates,ARE,2020,Male,40 to 49,1212087,Predicted,2733,2689,-44
United Arab Emirates,ARE,2020,Male,50 to 59,590884,Predicted,3818,4178,360
United Arab Emirates,ARE,2020,Male,60 to 69,180508,Predicted,3098,3546,448
United Arab Emirates,ARE,2020,Male,70 to 79,38807,Predicted,1965,2230,265
United Arab Emirates,ARE,2020,Male,80 plus,7460,Predicted,1098,1263,165
United Arab Emirates,ARE,2021,Female,0 to 24,1162912,Predicted,516,516,0
United Arab Emirates,ARE,2021,Female,25 to 39,1212242,Predicted,748,705,-43
United Arab Emirates,ARE,2021,Female,40 to 49,414635,Predicted,722,733,11
United Arab Emirates,ARE,2021,Female,50 to 59,216972,Predicted,1034,1131,97
United Arab Emirates,ARE,2021,Female,60 to 69,72075,Predicted,871,987,116
United Arab Emirates,ARE,2021,Female,70 to 79,18746,Predicted,610,665,55
United Arab Emirates,ARE,2021,Female,80 plus,5156,Predicted,637,680,43
United Arab Emirates,ARE,2021,Male,0 to 24,1499946,Predicted,1056,1056,0
United Arab Emirates,ARE,2021,Male,25 to 39,3278245,Predicted,3188,2899,-289
United Arab Emirates,ARE,2021,Male,40 to 49,1212481,Predicted,2690,2757,67
United Arab Emirates,ARE,2021,Male,50 to 59,633741,Predicted,4027,4450,423
United Arab Emirates,ARE,2021,Male,60 to 69,215924,Predicted,3749,4295,546
United Arab Emirates,ARE,2021,Male,70 to 79,39416,Predicted,2023,2275,252
United Arab Emirates,ARE,2021,Male,80 plus,8592,Predicted,1236,1360,124
Argentina,ARG,2020,Female,0 to 24,8874240,Predicted,5590,5590,0
Argentina,ARG,2020,Female,25 to 39,4977410,Predicted,4051,4217,166
Argentina,ARG,2020,Female,40 to 49,2931319,Predicted,5677,5791,114
Argentina,ARG,2020,Female,50 to 59,2318078,Predicted,10902,11090,188
Argentina,ARG,2020,Female,60 to 69,1905926,Predicted,22329,24068,1739
Argentina,ARG,2020,Female,70 to 79,1336023,Predicted,37226,40873,3647
Argentina,ARG,2020,Female,80 plus,803635,Predicted,90823,98228,7405
Argentina,ARG,2020,Male,0 to 24,9186274,Predicted,9553,9553,0
Argentina,ARG,2020,Male,25 to 39,4984251,Predicted,7903,8410,507
Argentina,ARG,2020,Male,40 to 49,2796425,Predicted,8746,9436,690
Argentina,ARG,2020,Male,50 to 59,2106862,Predicted,17655,18712,1057
Argentina,ARG,2020,Male,60 to 69,1622816,Predicted,35264,38937,3673
Argentina,ARG,2020,Male,70 to 79,964614,Predicted,47850,53859,6009
Argentina,ARG,2020,Male,80 plus,387904,Predicted,56732,63229,6497
Argentina,ARG,2021,Female,0 to 24,8892403,Predicted,5572,5572,0
Argentina,ARG,2021,Female,25 to 39,5006366,Predicted,4144,4841,697
Argentina,ARG,2021,Female,40 to 49,2984774,Predicted,5854,6775,921
Argentina,ARG,2021,Female,50 to 59,2347768,Predicted,11155,12883,1728
Argentina,ARG,2021,Female,60 to 69,1930320,Predicted,23032,28196,5164
Argentina,ARG,2021,Female,70 to 79,1365141,Predicted,38613,46968,8355
Argentina,ARG,2021,Female,80 plus,824465,Predicted,94975,104536,9561
Argentina,ARG,2021,Male,0 to 24,9205552,Predicted,9564,9564,0
Argentina,ARG,2021,Male,25 to 39,5023658,Predicted,8051,9201,1150
Argentina,ARG,2021,Male,40 to 49,2857147,Predicted,8988,10930,1942
Argentina,ARG,2021,Male,50 to 59,2134706,Predicted,17943,21104,3161
Argentina,ARG,2021,Male,60 to 69,1640062,Predicted,35997,43743,7746
Argentina,ARG,2021,Male,70 to 79,989306,Predicted,49615,60371,10756
Argentina,ARG,2021,Male,80 plus,404155,Predicted,60350,67358,7008
Armenia,ARM,2020,Female,0 to 24,452714,Reported,254,190,-64
Armenia,ARM,2020,Female,25 to 39,390590,Reported,155,165,10
Armenia,ARM,2020,Female,40 to 49,193076,Reported,274,314,40
Armenia,ARM,2020,Female,50 to 59,206995,Reported,766,1015,249
Armenia,ARM,2020,Female,60 to 69,189614,Reported,1950,2713,763
Armenia,ARM,2020,Female,70 to 79,77002,Reported,2406,3215,809
Armenia,ARM,2020,Female,80 plus,59496,Reported,6735,8464,1729
Armenia,ARM,2020,Male,0 to 24,511572,Reported,428,1505,1077
Armenia,ARM,2020,Male,25 to 39,345790,Reported,402,1127,725
Armenia,ARM,2020,Male,40 to 49,160012,Reported,652,924,272
Armenia,ARM,2020,Male,50 to 59,155658,Reported,1725,2071,346
Armenia,ARM,2020,Male,60 to 69,138788,Reported,3337,4313,976
Armenia,ARM,2020,Male,70 to 79,49741,Reported,2623,3827,1204
Armenia,ARM,2020,Male,80 plus,32186,Reported,3748,5529,1781
Armenia,ARM,2021,Female,0 to 24,450583,Reported,232,191,-41
Armenia,ARM,2021,Female,25 to 39,385422,Reported,146,177,31
Armenia,ARM,2021,Female,40 to 49,198895,Reported,267,340,73
Armenia,ARM,2021,Female,50 to 59,199891,Reported,698,986,288
Armenia,ARM,2021,Female,60 to 69,197790,Reported,1940,2851,911
Armenia,ARM,2021,Female,70 to 79,80952,Reported,2375,3371,996
Armenia,ARM,2021,Female,80 plus,58602,Reported,6657,8324,1667
Armenia,ARM,2021,Male,0 to 24,509651,Reported,393,1177,784
Armenia,ARM,2021,Male,25 to 39,344134,Reported,379,789,410
Armenia,ARM,2021,Male,40 to 49,164859,Reported,640,816,176
Armenia,ARM,2021,Male,50 to 59,149919,Reported,1590,1976,386
Armenia,ARM,2021,Male,60 to 69,143683,Reported,3328,4534,1206
Armenia,ARM,2021,Male,70 to 79,52326,Reported,2634,3815,1181
Armenia,ARM,2021,Male,80 plus,31421,Reported,3614,5292,1678
Antigua and Barbuda,ATG,2020,Female,0 to 24,17796,Predicted,7,7,0
Antigua and Barbuda,ATG,2020,Female,25 to 39,11085,Predicted,8,7,-1
Antigua and Barbuda,ATG,2020,Female,40 to 49,7481,Predicted,16,14,-2
Antigua and Barbuda,ATG,2020,Female,50 to 59,6887,Predicted,37,33,-4
Antigua and Barbuda,ATG,2020,Female,60 to 69,4298,Predicted,61,56,-5
Antigua and Barbuda,ATG,2020,Female,70 to 79,2197,Predicted,79,74,-5
Antigua and Barbuda,ATG,2020,Female,80 plus,915,Predicted,108,99,-9
Antigua and Barbuda,ATG,2020,Male,0 to 24,18233,Predicted,14,14,0
Antigua and Barbuda,ATG,2020,Male,25 to 39,10324,Predicted,18,14,-4
Antigua and Barbuda,ATG,2020,Male,40 to 49,6379,Predicted,16,13,-3
Antigua and Barbuda,ATG,2020,Male,50 to 59,5945,Predicted,41,35,-6
Antigua and Barbuda,ATG,2020,Male,60 to 69,3745,Predicted,67,61,-6
Antigua and Barbuda,ATG,2020,Male,70 to 79,1904,Predicted,74,70,-4
Antigua and Barbuda,ATG,2020,Male,80 plus,739,Predicted,116,109,-7
Antigua and Barbuda,ATG,2021,Female,0 to 24,17748,Predicted,7,7,0
Antigua and Barbuda,ATG,2021,Female,25 to 39,11085,Predicted,8,8,0
Antigua and Barbuda,ATG,2021,Female,40 to 49,7457,Predicted,15,15,0
Antigua and Barbuda,ATG,2021,Female,50 to 59,7009,Predicted,38,39,1
Antigua and Barbuda,ATG,2021,Female,60 to 69,4514,Predicted,62,66,4
Antigua and Barbuda,ATG,2021,Female,70 to 79,2291,Predicted,81,88,7
Antigua and Barbuda,ATG,2021,Female,80 plus,946,Predicted,111,115,4
Antigua and Barbuda,ATG,2021,Male,0 to 24,18191,Predicted,14,14,0
Antigua and Barbuda,ATG,2021,Male,25 to 39,10425,Predicted,16,15,-1
Antigua and Barbuda,ATG,2021,Male,40 to 49,6378,Predicted,17,16,-1
Antigua and Barbuda,ATG,2021,Male,50 to 59,6020,Predicted,41,40,-1
Antigua and Barbuda,ATG,2021,Male,60 to 69,3909,Predicted,69,73,4
Antigua and Barbuda,ATG,2021,Male,70 to 79,1983,Predicted,76,81,5
Antigua and Barbuda,ATG,2021,Male,80 plus,772,Predicted,123,129,6
Australia,AUS,2020,Female,0 to 24,3920954,Reported,949,546,-403
Australia,AUS,2020,Female,25 to 39,2728349,Reported,1104,503,-601
Australia,AUS,2020,Female,40 to 49,1664156,Reported,1869,1290,-579
Australia,AUS,2020,Female,50 to 59,1571401,Reported,3911,3383,-528
Australia,AUS,2020,Female,60 to 69,1355668,Reported,7280,7248,-32
Australia,AUS,2020,Female,70 to 79,952973,Reported,14326,14529,203
Australia,AUS,2020,Female,80 plus,607755,Reported,52645,52953,308
Australia,AUS,2020,Male,0 to 24,4113068,Reported,1492,712,-780
Australia,AUS,2020,Male,25 to 39,2770881,Reported,2252,531,-1721
Australia,AUS,2020,Male,40 to 49,1641904,Reported,3094,1447,-1647
Australia,AUS,2020,Male,50 to 59,1536334,Reported,6287,4490,-1797
Australia,AUS,2020,Male,60 to 69,1295519,Reported,11470,10645,-825
Australia,AUS,2020,Male,70 to 79,893403,Reported,20227,20904,677
Australia,AUS,2020,Male,80 plus,447516,Reported,43085,43152,67
Australia,AUS,2021,Female,0 to 24,3962149,Reported,945,590,-355
Australia,AUS,2021,Female,25 to 39,2734872,Reported,1114,503,-611
