country,Country name,,,,,,,,
iso3,ISO 3166-1 alpha-3 code,,,,,,,,
year,"Year of death (""2020-2021"" includes: average values of 2020 and 2021 for ""pop.e5"" and ""excess.mean"", person-years-weighed uncertainty for ""excess.low"" and ""excess.high"")",,,,,,,,
pop.e5,"Population (in 100,000)",,,,,,,,
excess.mean,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (mean)",,,,,,,,
excess.low,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (lower 95% confidence interval)",,,,,,,,
excess.high,"Excess deaths associated with COVID-19 pandemic from all-causes per 100,000 (higher 95% confidence interval)",,,,,,,,
,,,,,,,,,
Country,iso3,year,pop.e5,excess.mean,excess.low,excess.high,,,
Afghanistan,AFG,2020,389.3,50,-3,103,,,
Afghanistan,AFG,2021,398.4,63,9,120,,,
Afghanistan,AFG,2020-2021,393.8,57,18,96,,,
Albania,ALB,2020,28.8,193,169,219,,,
Albania,ALB,2021,28.7,248,217,276,,,
Albania,ALB,2020-2021,28.8,221,201,238,,,
Algeria,DZA,2020,438.5,127,121,134,,,
Algeria,DZA,2021,446.2,31,-13,77,,,
Algeria,DZA,2020-2021,442.3,79,57,103,,,
Andorra,AND,2020,0.8,300,265,337,,,
Andorra,AND,2021,0.8,185,-22,416,,,
Andorra,AND,2020-2021,0.8,242,137,357,,,
Angola,AGO,2020,328.7,16,-34,70,,,
Angola,AGO,2021,339.3,51,-2,110,,,
Angola,AGO,2020-2021,334.0,34,-4,75,,,
Antigua and Barbuda,ATG,2020,1.0,-58,-83,-34,,,
Antigua and Barbuda,ATG,2021,1.0,27,-128,192,,,
Antigua and Barbuda,ATG,2020-2021,1.0,-15,-94,69,,,
Argentina,ARG,2020,452.0,70,53,86,,,
Argentina,ARG,2021,456.1,128,70,187,,,
Argentina,ARG,2020-2021,454.0,99,69,131,,,
Armenia,ARM,2020,29.6,335,321,349,,,
Armenia,ARM,2021,29.7,328,312,344,,,
Armenia,ARM,2020-2021,29.7,332,321,342,,,
Australia,AUS,2020,255.0,-30,-38,-22,,,
Australia,AUS,2021,257.9,-26,-38,-14,,,
Australia,AUS,2020-2021,256.4,-28,-35,-20,,,
Austria,AUT,2020,90.1,73,59,85,,,
Austria,AUT,2021,90.4,60,43,75,,,
Austria,AUT,2020-2021,90.2,66,56,76,,,
Azerbaijan,AZE,2020,101.4,272,257,287,,,
Azerbaijan,AZE,2021,102.2,288,268,307,,,
Azerbaijan,AZE,2020-2021,101.8,280,267,292,,,
Bahamas,BHS,2020,3.9,85,16,157,,,
Bahamas,BHS,2021,4.0,168,93,253,,,
Bahamas,BHS,2020-2021,4.0,127,73,180,,,
Bahrain,BHR,2020,17.0,14,-9,40,,,
Bahrain,BHR,2021,17.5,24,-4,53,,,
Bahrain,BHR,2020-2021,17.2,19,0,39,,,
Bangladesh,BGD,2020,1646.9,28,-10,68,,,
Bangladesh,BGD,2021,1663.0,57,16,103,,,
Bangladesh,BGD,2020-2021,1655.0,43,15,72,,,
Barbados,BRB,2020,2.9,-90,-123,-58,,,
Barbados,BRB,2021,2.9,-33,-120,75,,,
Barbados,BRB,2020-2021,2.9,-62,-109,-7,,,
Belarus,BLR,2020,94.5,253,237,270,,,
Belarus,BLR,2021,94.4,265,152,396,,,
Belarus,BLR,2020-2021,94.5,259,200,326,,,
Belgium,BEL,2020,115.9,146,132,161,,,
Belgium,BEL,2021,116.3,8,-8,24,,,
Belgium,BEL,2020-2021,116.1,77,66,88,,,
Belize,BLZ,2020,4.0,31,22,39,,,
Belize,BLZ,2021,4.0,142,52,242,,,
Belize,BLZ,2020-2021,4.0,87,41,137,,,
Benin,BEN,2020,121.2,32,-28,93,,,
Benin,BEN,2021,124.5,64,2,135,,,
Benin,BEN,2020-2021,122.9,48,4,97,,,
Bhutan,BTN,2020,7.7,-27,-77,20,,,
Bhutan,BTN,2021,7.8,-24,-71,29,,,
Bhutan,BTN,2020-2021,7.8,-26,-61,10,,,
Bolivia (Plurinational State of),BOL,2020,116.7,311,305,317,,,
Bolivia (Plurinational State of),BOL,2021,118.3,437,431,444,,,
Bolivia (Plurinational State of),BOL,2020-2021,117.5,375,370,379,,,
Bosnia and Herzegovina,BIH,2020,32.8,161,138,184,,,
Bosnia and Herzegovina,BIH,2021,32.6,320,285,353,,,
Bosnia and Herzegovina,BIH,2020-2021,32.7,240,219,260,,,
Botswana,BWA,2020,23.5,10,-61,79,,,
Botswana,BWA,2021,24.0,300,213,389,,,
Botswana,BWA,2020-2021,23.7,156,100,212,,,
Brazil,BRA,2020,2125.6,99,95,103,,,
Brazil,BRA,2021,2139.9,220,215,225,,,
Brazil,BRA,2020-2021,2132.8,160,157,163,,,
Brunei Darussalam,BRN,2020,4.4,-28,-40,-17,,,
Brunei Darussalam,BRN,2021,4.4,3,-86,95,,,
Brunei Darussalam,BRN,2020-2021,4.4,-13,-59,34,,,
Bulgaria,BGR,2020,69.5,243,220,265,,,
Bulgaria,BGR,2021,69.0,589,565,614,,,
Bulgaria,BGR,2020-2021,69.2,415,399,432,,,
Burkina Faso,BFA,2020,209.0,34,-22,89,,,
Burkina Faso,BFA,2021,215.0,70,11,132,,,
Burkina Faso,BFA,2020-2021,212.0,52,11,94,,,
Burundi,BDI,2020,118.9,34,-21,93,,,
Burundi,BDI,2021,122.6,43,-13,104,,,
Burundi,BDI,2020-2021,120.7,39,-3,79,,,
Cabo Verde,CPV,2020,5.6,59,10,112,,,
Cabo Verde,CPV,2021,5.6,107,51,163,,,
Cabo Verde,CPV,2020-2021,5.6,83,43,120,,,
Cambodia,KHM,2020,167.2,4,-42,50,,,
Cambodia,KHM,2021,169.5,70,21,122,,,
Cambodia,KHM,2020-2021,168.3,37,3,71,,,
Cameroon,CMR,2020,265.5,46,-13,104,,,
Cameroon,CMR,2021,272.2,85,25,145,,,
Cameroon,CMR,2020-2021,268.9,66,22,110,,,
Canada,CAN,2020,377.4,45,37,53,,,
Canada,CAN,2021,380.7,14,-21,53,,,
Canada,CAN,2020-2021,379.1,29,11,48,,,
Central African Republic,CAF,2020,48.3,49,-42,141,,,
Central African Republic,CAF,2021,49.2,79,-12,180,,,
Central African Republic,CAF,2020-2021,48.7,64,-3,135,,,
Chad,TCD,2020,164.3,43,-30,115,,,
Chad,TCD,2021,169.1,72,-6,157,,,
Chad,TCD,2020-2021,166.7,58,5,113,,,
Chile,CHL,2020,191.2,76,71,81,,,
Chile,CHL,2021,192.1,126,120,131,,,
Chile,CHL,2020-2021,191.6,101,97,105,,,
China,CHN,2020,14474.7,-5,-6,-5,,,
China,CHN,2021,14524.3,2,1,3,,,
China,CHN,2020-2021,14499.5,-2,-2,-1,,,
Colombia,COL,2020,508.8,106,103,109,,,
Colombia,COL,2021,512.7,216,213,219,,,
Colombia,COL,2020-2021,510.7,161,159,163,,,
Comoros,COM,2020,8.7,18,-28,65,,,
Comoros,COM,2021,8.9,64,15,118,,,
Comoros,COM,2020-2021,8.8,41,8,76,,,
Congo,COG,2020,55.2,24,-22,74,,,
Congo,COG,2021,56.6,56,4,115,,,
Congo,COG,2020-2021,55.9,41,5,80,,,
Cook Islands,COK,2020,0.2,-108,-257,62,,,
Cook Islands,COK,2021,0.2,-96,-255,72,,,
Cook Islands,COK,2020-2021,0.2,-102,-214,6,,,
Costa Rica,CRI,2020,50.9,27,19,34,,,
Costa Rica,CRI,2021,51.4,161,96,232,,,
